candidate_id,rank,score,reasoning
CAND_0044855,17,0.7859,"Senior Data Scientist with 6.6yr exp; 6 core skills matched; strong ML/AI career history; response rate 0.57; not open to work; based in Coimbatore, Tamil Nadu"
CAND_0002025,18,0.7853,"Senior AI Engineer with 5.9yr exp; 6 core skills matched; strong ML/AI career history; response rate 0.80; based in Trivandrum, Kerala"
CAND_0077337,19,0.7842,"Staff Machine Learning Engineer with 7.0yr exp; 6 core skills matched; strong ML/AI career history; response rate 0.95; based in Kochi, Kerala"
CAND_0016163,20,0.7839,"Applied ML Engineer with 6.7yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.72; based in Gurgaon, Haryana"
CAND_0092278,21,0.7839,"Senior NLP Engineer with 6.8yr exp; 2 core skills matched; strong ML/AI career history; not open to work; based in Pune, Maharashtra"
CAND_0055905,22,0.7833,Senior Machine Learning Engineer with 8.1yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.87
CAND_0039754,23,0.7809,"Senior Applied Scientist with 16.2yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.81; based in Indore, Madhya Pradesh"
CAND_0007412,24,0.7789,"Applied ML Engineer with 7.4yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.76; based in Noida, Uttar Pradesh"
CAND_0010685,25,0.7770,"NLP Engineer with 6.7yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.83; based in Kolkata, West Bengal"
CAND_0091909,26,0.7766,"Machine Learning Engineer with 6.9yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.65; based in Bangalore, Karnataka"
CAND_0027801,27,0.7755,"NLP Engineer with 7.4yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.65; based in Hyderabad, Telangana"
CAND_0011432,28,0.7753,"Senior Data Scientist with 7.6yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.67; based in Chennai, Tamil Nadu"
CAND_0081846,29,0.7744,"Lead AI Engineer with 6.7yr exp; 6 core skills matched; strong ML/AI career history; response rate 0.73; based in Jaipur, Rajasthan"
CAND_0011687,30,0.7730,"Senior NLP Engineer with 7.8yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.89; based in Indore, Madhya Pradesh"
CAND_0007411,31,0.7720,"Senior Machine Learning Engineer with 8.0yr exp; 4 core skills matched; strong ML/AI career history; not open to work; based in Kochi, Kerala"
CAND_0052328,32,0.7717,"Recommendation Systems Engineer with 6.5yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.79; based in Pune, Maharashtra"
CAND_0000031,33,0.7709,"Recommendation Systems Engineer with 6.0yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.91; based in Hyderabad, Telangana"
CAND_0065195,34,0.7708,"Search Engineer with 5.1yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.80; based in Kolkata, West Bengal"
CAND_0088025,35,0.7679,"Staff Machine Learning Engineer with 8.6yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.83; based in Jaipur, Rajasthan"
CAND_0060072,36,0.7675,"Staff Machine Learning Engineer with 5.7yr exp; 5 core skills matched; strong ML/AI career history; not open to work; based in Indore, Madhya Pradesh"
CAND_0018549,37,0.7621,"Recommendation Systems Engineer with 6.8yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.73; based in Coimbatore, Tamil Nadu"
CAND_0064904,38,0.7620,"AI Engineer with 4.9yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.78; based in Hyderabad, Telangana"
CAND_0062247,39,0.7612,"AI Engineer with 7.3yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.78; based in Kochi, Kerala"
CAND_0042029,40,0.7604,"Senior Data Scientist with 6.5yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.67; not open to work; based in Delhi, Delhi"
CAND_0058575,41,0.7580,"AI Engineer with 5.8yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.69; based in Chennai, Tamil Nadu"
CAND_0094759,42,0.7572,"Lead AI Engineer with 8.6yr exp; 4 core skills matched; strong ML/AI career history; not open to work; based in Mumbai, Maharashtra"
CAND_0030468,43,0.7557,"Senior Applied Scientist with 5.4yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.78; based in Indore, Madhya Pradesh"
CAND_0083307,44,0.7540,"Search Engineer with 7.8yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.70; based in Vizag, Andhra Pradesh"
CAND_0081053,45,0.7490,"NLP Engineer with 5.4yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.83; based in Chandigarh, Chandigarh"
CAND_0058688,46,0.7473,AI Engineer with 6.7yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.74
CAND_0009024,47,0.7467,"Search Engineer with 5.2yr exp; 3 core skills matched; strong ML/AI career history; based in Chennai, Tamil Nadu"
CAND_0007460,48,0.7465,"AI Engineer with 4.7yr exp; 3 core skills matched; strong ML/AI career history; based in Pune, Maharashtra"
CAND_0037566,49,0.7457,"Machine Learning Engineer with 6.9yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.50; based in Bangalore, Karnataka"
CAND_0094056,50,0.7451,"NLP Engineer with 5.9yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.82; not open to work; based in Chennai, Tamil Nadu"
CAND_0040117,51,0.7449,"Recommendation Systems Engineer with 6.5yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.66; based in Vizag, Andhra Pradesh"
CAND_0054123,52,0.7429,"Applied ML Engineer with 4.7yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.87; not open to work; based in Gurgaon, Haryana"
CAND_0006557,53,0.7424,"NLP Engineer with 7.9yr exp; 7 core skills matched; strong ML/AI career history; response rate 0.63; based in Jaipur, Rajasthan"
CAND_0099401,54,0.7420,"NLP Engineer with 7.7yr exp; 4 core skills matched; strong ML/AI career history; not open to work; based in Ahmedabad, Gujarat"
CAND_0061257,55,0.7414,"Staff Machine Learning Engineer with 8.0yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.87; based in Noida, Uttar Pradesh"
CAND_0079284,56,0.7412,"Machine Learning Engineer with 4.9yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.79; not open to work; based in Hyderabad, Telangana"
CAND_0089552,57,0.7395,"Machine Learning Engineer with 6.0yr exp; 4 core skills matched; strong ML/AI career history; not open to work; based in Kolkata, West Bengal"
CAND_0028793,58,0.7394,"Search Engineer with 7.2yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.57; based in Trivandrum, Kerala"
CAND_0068351,59,0.7394,"Lead AI Engineer with 6.4yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.86; not open to work; based in Delhi, Delhi"
CAND_0005269,60,0.7375,"Senior Software Engineer (ML) with 6.1yr exp; 4 core skills matched; strong ML/AI career history; based in Kochi, Kerala"
CAND_0030031,61,0.7374,"AI Engineer with 5.7yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.94; not open to work; based in Trivandrum, Kerala"
CAND_0036863,62,0.7371,"Senior Data Scientist with 4.3yr exp; 3 core skills matched; strong ML/AI career history; based in Chennai, Tamil Nadu"
CAND_0067866,63,0.7362,"Senior Software Engineer (ML) with 6.4yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.79; based in Noida, Uttar Pradesh"
CAND_0079387,64,0.7360,"AI Engineer with 6.9yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.81; based in Trivandrum, Kerala"
CAND_0066999,65,0.7358,"Recommendation Systems Engineer with 5.9yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.63; based in Delhi, Delhi"
CAND_0037944,66,0.7342,"Senior Data Scientist with 4.9yr exp; 4 core skills matched; strong ML/AI career history; based in Jaipur, Rajasthan"
CAND_0042100,67,0.7324,Machine Learning Engineer with 7.3yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.87
CAND_0050454,68,0.7304,"AI Engineer with 6.8yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.77; based in Delhi, Delhi"
CAND_0027691,69,0.7298,"NLP Engineer with 6.5yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.68; based in Pune, Maharashtra"
CAND_0039838,70,0.7298,"Recommendation Systems Engineer with 4.9yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.80; based in Kochi, Kerala"
CAND_0006418,71,0.7292,"Machine Learning Engineer with 5.7yr exp; 6 core skills matched; strong ML/AI career history; response rate 0.92; based in Gurgaon, Haryana"
CAND_0013613,72,0.7283,Machine Learning Engineer with 4.7yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.73
CAND_0083852,73,0.7283,"Data Scientist with 6.0yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.85; based in Ahmedabad, Gujarat"
CAND_0060054,74,0.7277,"AI Engineer with 6.4yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.86; not open to work; based in Jaipur, Rajasthan"
CAND_0052682,75,0.7273,"NLP Engineer with 6.6yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.88; based in Vizag, Andhra Pradesh"
CAND_0017960,76,0.7253,"Recommendation Systems Engineer with 7.7yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.72; based in Bangalore, Karnataka"
CAND_0048558,77,0.7210,"Data Scientist with 6.7yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.80; based in Noida, Uttar Pradesh"
CAND_0033861,78,0.7194,"Senior NLP Engineer with 8.0yr exp; 7 core skills matched; strong ML/AI career history; not open to work; based in Vizag, Andhra Pradesh"
CAND_0070398,79,0.7193,"Machine Learning Engineer with 7.2yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.60; based in Kochi, Kerala"
CAND_0096142,80,0.7191,"Applied ML Engineer with 5.0yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.84; based in Hyderabad, Telangana"
CAND_0009691,81,0.7179,"Applied ML Engineer with 6.2yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.64; based in Indore, Madhya Pradesh"
CAND_0061175,82,0.7176,"AI Research Engineer with 6.7yr exp; 4 core skills matched; strong ML/AI career history; based in Gurgaon, Haryana"
CAND_0079064,83,0.7176,"Senior Data Scientist with 5.2yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.91; based in Noida, Uttar Pradesh"
CAND_0054394,84,0.7169,"Recommendation Systems Engineer with 4.1yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.64; based in Pune, Maharashtra"
CAND_0066035,85,0.7163,"Data Scientist with 6.7yr exp; 4 core skills matched; strong ML/AI career history; based in Kolkata, West Bengal"
CAND_0067041,86,0.7161,"Data Scientist with 6.9yr exp; 5 core skills matched; strong ML/AI career history; based in Noida, Uttar Pradesh"
CAND_0080766,87,0.7161,"Staff Machine Learning Engineer with 8.8yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.66; not open to work; based in Coimbatore, Tamil Nadu"
CAND_0078492,88,0.7157,"Recommendation Systems Engineer with 5.1yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.70; based in Kochi, Kerala"
CAND_0040887,89,0.7154,Machine Learning Engineer with 4.7yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.84
CAND_0030827,90,0.7147,Senior Data Scientist with 5.4yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.52
CAND_0086151,91,0.7144,"Recommendation Systems Engineer with 7.7yr exp; 5 core skills matched; strong ML/AI career history; response rate 0.52; based in Vizag, Andhra Pradesh"
CAND_0028422,92,0.7137,"Junior ML Engineer with 5.5yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.76; based in Chennai, Tamil Nadu"
CAND_0041568,93,0.7134,Search Engineer with 5.2yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.52
CAND_0031593,94,0.7130,"Search Engineer with 7.8yr exp; 2 core skills matched; strong ML/AI career history; response rate 0.58; based in Kolkata, West Bengal"
CAND_0075574,95,0.7128,"Machine Learning Engineer with 5.7yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.58; based in Bangalore, Karnataka"
CAND_0068811,96,0.7125,"Applied ML Engineer with 8.0yr exp; 5 core skills matched; strong ML/AI career history; based in Pune, Maharashtra"
CAND_0081686,97,0.7123,Search Engineer with 6.0yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.91; not open to work
CAND_0092245,98,0.7117,"Senior Data Scientist with 4.1yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.50; based in Coimbatore, Tamil Nadu"
CAND_0074735,99,0.7116,"Applied ML Engineer with 5.5yr exp; 4 core skills matched; strong ML/AI career history; response rate 0.77; based in Chandigarh, Chandigarh"
CAND_0047521,100,0.7113,"Junior ML Engineer with 4.4yr exp; 3 core skills matched; strong ML/AI career history; response rate 0.83; based in Mumbai, Maharashtra"
